date,price_new,price_2nd
2020-5-18,,
2020-5-19,,
2020-5-21,,
2020-5-22,,
2020-5-23,,
2020-5-24,,
2020-5-25,,
2020-5-27,,
2020-5-28,,
2020-5-29,,
2020-5-30,,
2020-6-1,,
2020-6-2,154.99,
2020-6-3,154.99,
2020-6-4,154.99,
2020-6-5,154.99,
2020-6-7,154.99,
2020-6-8,154.99,
2020-6-9,154.99,
2020-6-10,159.99,
2020-6-12,159.99,
2020-6-13,154.99,
2020-6-14,154.99,
2020-6-15,154.99,
2020-6-16,154.99,
2020-6-18,154.99,
2020-6-19,154.99,
2020-6-20,154.99,
2020-6-21,154.99,
2020-6-22,154.99,
2020-6-24,154.99,
2020-6-25,154.99,
2020-6-26,154.99,
2020-6-27,154.99,
2020-6-29,154.99,136.39
2020-6-30,154.99,136.39
2020-7-1,154.99,136.39
2020-7-2,154.99,136.39
2020-7-3,154.99,
2020-7-5,154.99,
2020-7-6,154.99,
2020-7-7,154.99,
2020-7-8,154.99,136.39
2020-7-10,154.0,136.39
2020-7-11,154.99,136.39
2020-7-12,154.99,136.39
2020-7-13,154.99,136.39
2020-7-14,154.99,136.39
2020-7-16,154.99,
2020-7-17,154.99,
2020-7-18,154.99,
2020-7-19,154.99,
2020-7-21,154.99,
2020-7-22,164.67,136.39
2020-7-23,162.67,136.39
2020-7-24,162.67,136.39
2020-7-25,162.67,136.39
2020-7-27,162.67,
2020-7-28,162.67,
2020-7-29,162.67,
2020-7-30,162.67,
2020-8-1,162.67,
2020-8-2,162.67,139.8
2020-8-3,162.67,139.8
2020-8-4,162.67,139.8
2020-8-5,162.67,139.8
2020-8-7,162.67,139.8
2020-8-8,232.99,139.8
2020-8-9,164.99,139.8
2020-8-10,164.99,143.2
2020-8-12,164.99,143.2
2020-8-13,174.99,145.19
2020-8-14,174.99,145.19
2020-8-15,174.99,145.19
2020-8-16,174.99,145.19
2020-8-18,174.99,145.19
2020-8-19,164.99,145.19
2020-8-20,164.99,145.19
2020-8-21,164.99,136.39
2020-8-23,164.99,145.19
2020-8-24,164.99,145.19
2020-8-25,164.99,145.19
2020-8-26,164.99,145.19
2020-8-27,164.99,145.19
2020-8-29,164.99,145.19
2020-8-30,164.99,145.19
2020-8-31,164.99,145.19
2020-9-1,164.99,123.74
2020-9-3,164.99,145.19
2020-9-4,164.99,145.19
2020-9-5,164.99,145.19
2020-9-6,164.99,145.19
2020-9-7,164.99,145.19
2020-9-9,164.99,145.19
2020-9-10,164.99,145.19
2020-9-11,164.99,145.19
2020-9-12,164.99,145.19
2020-9-14,164.99,145.19
2020-9-15,164.99,145.19
2020-9-16,164.99,145.19
2020-9-17,164.99,145.19
2020-9-18,174.99,145.19
2020-9-20,174.99,148.6
2020-9-21,174.99,148.6
2020-9-22,174.99,148.6
2020-9-23,174.99,148.6
2020-9-25,174.99,148.6
2020-9-26,174.99,148.6
2020-9-27,174.99,148.6
2020-9-28,174.99,147.23
2020-9-29,174.99,147.23
2020-10-1,174.99,150.64
2020-10-2,174.99,150.64
2020-10-3,174.99,150.64
2020-10-4,174.99,150.64
2020-10-5,174.99,150.64
2020-10-7,174.99,153.99
2020-10-8,174.99,153.99
2020-10-9,174.99,153.99
2020-10-10,174.99,153.99
2020-10-12,174.99,131.24
2020-10-13,174.99,153.99
2020-10-14,174.99,153.99
2020-10-15,174.88,153.99
2020-10-16,174.88,153.99
2020-10-18,174.88,153.99
2020-10-19,174.88,153.99
2020-10-20,174.88,151.26
2020-10-21,164.99,145.19
2020-10-23,164.99,145.19
2020-10-24,164.99,145.19
2020-10-25,164.99,145.19
2020-10-26,164.99,145.19
2020-10-27,174.88,145.19
2020-10-29,164.99,145.19
2020-10-30,164.99,145.19
2020-10-31,204.99,123.74
2020-11-1,206.99,145.19
2020-11-3,164.99,123.74
2020-11-4,164.99,145.19
2020-11-5,164.99,145.19
2020-11-6,164.99,145.19
2020-11-7,164.99,145.19
2020-11-9,164.99,145.19
2020-11-10,164.99,145.19
2020-11-11,164.99,145.19
2020-11-12,164.99,151.79
2020-11-14,164.99,123.74
2020-11-15,164.99,123.74
2020-11-16,164.99,
2020-11-17,234.34,145.19
2020-11-18,375.99,145.19
2020-11-20,164.99,145.19
2020-11-21,164.99,145.19
2020-11-22,164.99,145.19
2020-11-23,164.99,145.19
2020-11-25,164.99,156.74
2020-11-26,164.99,156.74
2020-11-27,164.99,156.74
2020-11-28,164.99,145.19
2020-11-29,198.08,145.19
2020-12-1,197.39,153.99
2020-12-2,375.99,153.99
2020-12-3,375.99,153.99
2020-12-4,375.99,299.66
2020-12-6,375.99,299.66
2020-12-7,375.99,299.66
2020-12-8,349.98,299.66
2020-12-9,349.98,299.66
2020-12-10,349.99,299.66
2020-12-12,349.98,299.66
2020-12-13,349.98,299.66
2020-12-14,299.98,299.66
2020-12-15,299.98,299.66
2020-12-17,299.98,299.66
2020-12-18,299.98,299.66
2020-12-19,299.98,299.66
2020-12-20,299.98,279.66
2020-12-21,299.98,259.66
2020-12-23,200.0,249.66
2020-12-24,199.99,249.66
2020-12-25,199.99,249.66
2020-12-26,199.99,249.66
2020-12-28,210.0,249.66
2020-12-29,230.0,249.66
2020-12-30,296.95,249.66
2020-12-31,296.95,249.66
2021-1-1,296.93,249.66
2021-1-3,296.93,249.66
2021-1-4,296.93,249.66
2021-1-5,296.93,249.66
2021-1-6,296.93,299.66
2021-1-8,296.93,299.66
2021-1-9,296.93,299.66
2021-1-10,270.0,299.66
2021-1-11,299.98,299.66
2021-1-12,299.98,299.66
2021-1-14,299.98,299.66
2021-1-15,298.99,299.66
2021-1-16,270.0,299.66
2021-1-17,295.97,299.66
2021-1-19,299.98,299.66
