date,price_new,price_2nd
2021-3-9,1299.99,
2021-3-10,1199.99,
2021-3-11,1199.99,
2021-3-11,1199.99,
2021-3-12,1199.99,
2021-3-13,1199.99,
2021-3-13,,
2021-3-14,,
2021-3-15,,
2021-3-15,,
2021-3-16,,
2021-3-17,,
2021-3-17,,
2021-3-18,,
2021-3-19,,
2021-3-20,,
2021-3-20,,
2021-3-21,,
2021-3-22,,
2021-3-22,,
2021-3-23,,
2021-3-24,,
2021-3-24,,
2021-3-25,,
2021-3-26,,
2021-3-26,,
2021-3-27,,
2021-3-28,,
2021-3-28,,
2021-3-29,,
2021-3-30,,
2021-3-31,,
2021-3-31,,
2021-4-1,,
2021-4-2,,
2021-4-2,,
2021-4-3,,
2021-4-4,,
2021-4-4,,
2021-4-5,,
2021-4-6,,
2021-4-6,,
2021-4-7,,
2021-4-8,,
2021-4-8,,
2021-4-9,,
2021-4-10,,
2021-4-11,,
2021-4-11,,
2021-4-12,,
2021-4-13,,
2021-4-13,,
2021-4-14,,
2021-4-15,,
2021-4-15,,
2021-4-16,,
2021-4-17,,
2021-4-17,,
2021-4-18,,
2021-4-19,,
2021-4-19,,
2021-4-20,,
2021-4-21,,
2021-4-22,,
2021-4-22,,
2021-4-23,,
2021-4-24,,
2021-4-24,,
2021-4-25,,
2021-4-26,,
2021-4-26,,
2021-4-27,,
2021-4-28,,
2021-4-28,,
2021-4-29,,
2021-4-30,,
2021-4-30,,
2021-5-1,,
2021-5-2,,
2021-5-3,,
2021-5-3,,
2021-5-4,,
2021-5-5,,
2021-5-5,,
2021-5-6,,
2021-5-7,,
2021-5-7,,
2021-5-8,,
2021-5-9,,
2021-5-9,,
2021-5-10,,
2021-5-11,,
2021-5-11,,
2021-5-12,,
2021-5-13,,
2021-5-14,,
2021-5-14,,
2021-5-15,,
2021-5-16,,
2021-5-16,,
2021-5-17,,
2021-5-18,,
2021-5-18,,
2021-5-19,,
2021-5-20,,
2021-5-20,,
2021-5-21,,
2021-5-22,,
2021-5-22,,
2021-5-23,,
2021-5-24,,
2021-5-25,,
2021-5-25,,
2021-5-26,,
2021-5-27,,
2021-5-27,,
2021-5-28,,
2021-5-29,,
2021-5-29,,
2021-5-30,,
2021-5-31,,
2021-5-31,,
2021-6-1,,
2021-6-2,,
2021-6-2,,
2021-6-3,,
2021-6-4,,
2021-6-5,,
2021-6-5,,
2021-6-6,,
2021-6-7,,
2021-6-7,,
2021-6-8,,
2021-6-9,,
2021-6-9,1099.99,
2021-6-10,1099.99,
2021-6-11,959.99,
2021-6-11,959.99,
2021-6-12,959.99,
2021-6-13,959.99,
2021-6-13,959.99,
2021-6-14,959.99,
2021-6-15,959.99,
2021-6-15,959.99,
2021-6-16,959.99,
2021-6-17,959.99,
2021-6-18,959.99,
2021-6-18,959.99,
2021-6-19,959.99,
2021-6-20,959.99,
2021-6-20,955.67,
2021-6-21,959.99,
2021-6-22,949.67,
2021-6-22,939.67,
2021-6-23,959.99,
2021-6-24,939.67,
2021-6-24,939.67,
2021-6-25,959.99,
2021-6-26,959.99,
2021-6-26,959.99,
2021-6-27,949.99,
2021-6-28,949.99,
2021-6-29,949.99,
2021-6-29,949.99,
2021-6-30,949.99,
2021-7-1,949.99,
2021-7-1,949.99,
2021-7-2,949.99,
2021-7-3,949.99,
2021-7-3,949.99,
2021-7-4,939.67,
2021-7-5,949.99,
2021-7-5,949.99,
2021-7-6,939.67,
2021-7-7,938.99,
2021-7-7,938.98,
2021-7-8,919.0,
2021-7-9,914.99,
2021-7-10,899.67,
2021-7-10,894.99,
2021-7-11,894.99,
2021-7-12,894.99,
2021-7-12,890.0,
2021-7-13,884.99,
2021-7-14,884.99,
2021-7-14,884.0,
2021-7-15,874.56,870.0
2021-7-16,874.56,870.0
2021-7-16,869.95,870.0
2021-7-17,869.95,870.0
2021-7-18,869.95,870.0
2021-7-18,869.95,870.0
2021-7-19,869.95,870.0
2021-7-20,864.95,860.0
2021-7-21,864.95,860.0
2021-7-21,854.95,860.0
2021-7-22,854.95,860.0
2021-7-23,854.95,860.0
2021-7-23,849.95,860.0
2021-7-24,839.67,860.0
2021-7-25,849.95,860.0
2021-7-25,849.95,860.0
2021-7-26,849.95,860.0
2021-7-27,859.0,860.0
2021-7-27,859.0,860.0
2021-7-28,859.0,860.0
2021-7-29,859.0,860.0
2021-7-29,859.0,860.0
2021-7-30,859.0,860.0
2021-7-31,859.0,860.0
2021-8-1,859.0,860.0
2021-8-1,859.0,860.0
2021-8-2,864.94,860.0
2021-8-3,879.0,860.0
2021-8-3,879.0,850.0
2021-8-4,879.9,850.0
2021-8-5,879.0,850.0
2021-8-5,879.9,850.0
2021-8-6,875.0,850.0
2021-8-7,878.99,850.0
2021-8-7,878.94,850.0
2021-8-8,878.94,850.0
2021-8-9,878.94,850.0
2021-8-9,878.94,850.0
2021-8-10,878.94,850.0
2021-8-11,878.94,850.0
2021-8-12,878.94,850.0
2021-8-12,934.0,850.0
2021-8-13,900.0,850.0
2021-8-14,900.0,850.0
2021-8-14,900.0,850.0
2021-8-15,900.0,850.0
2021-8-16,900.0,850.0
2021-8-16,900.0,850.0
2021-8-17,934.0,850.0
2021-8-18,934.0,850.0
2021-8-18,934.0,
2021-8-19,898.49,
2021-8-20,934.0,
2021-8-20,934.0,
2021-8-21,934.0,
2021-8-22,934.0,
2021-8-23,934.0,
2021-8-23,934.0,
2021-8-24,799.99,
2021-8-25,799.99,
2021-8-25,799.99,
2021-8-26,799.99,
2021-8-27,912.99,840.0
2021-8-27,912.99,840.0
2021-8-28,912.99,840.0
2021-8-29,912.99,840.0
2021-8-29,904.98,915.0
2021-8-30,929.95,915.0
2021-8-31,929.95,845.0
2021-8-31,919.98,845.0
2021-9-1,919.99,835.0
2021-9-1,919.99,835.0
2021-9-2,919.99,825.0
2021-9-3,919.99,825.0
2021-9-3,919.99,820.99
2021-9-4,879.94,820.99
2021-9-5,879.94,815.99
2021-9-5,879.94,799.99
2021-9-6,879.94,825.0
2021-9-7,879.94,799.99
2021-9-7,879.94,799.99
2021-9-8,879.94,825.0
2021-9-9,875.99,825.0
2021-9-9,875.99,799.99
2021-9-10,799.99,789.0
2021-9-11,799.99,789.0
2021-9-11,799.99,789.0
2021-9-12,799.99,789.0
2021-9-13,799.99,789.0
2021-9-14,799.99,789.0
2021-9-14,788.99,789.0
2021-9-15,777.67,789.0
2021-9-16,788.99,789.0
2021-9-16,785.0,789.0
2021-9-17,785.0,789.0
2021-9-18,784.0,789.0
2021-9-18,784.0,789.0
